Date,Open,High,Low,Close,Adjusted Closing Price,Volume
1/2/2020,129.063095,129.942642,128.843216,129.46463,105.346336,3293436
1/3/2020,127.695984,128.92926,127.686424,128.432129,104.506195,2482890
1/6/2020,127.552582,128.336517,127.342255,128.202682,104.319489,2537073
1/7/2020,127.810707,129.024857,127.533463,128.288712,104.389488,3232977
1/8/2020,128.59465,129.885284,128.030594,129.359467,105.260765,4545916
1/9/2020,129.770554,130.774384,129.359467,130.726578,106.373199,3902208
1/10/2020,130.975143,131.806885,130.315491,130.678772,106.334297,3405148
1/13/2020,129.521988,130.630981,129.13002,130.592728,106.264297,3693426
1/14/2020,130.286804,131.108994,129.588913,129.847031,105.657501,3850326
1/15/2020,130.019119,131.988525,129.741867,130.611862,106.279839,4232011
1/16/2020,131.281067,132.112808,130.984711,131.912048,107.337814,4519661
1/17/2020,130.53537,132.246658,130.172089,132.227539,107.594536,5881972
1/21/2020,131.749527,133.221802,131.548752,133.049713,108.263535,7577329
1/22/2020,137.017212,139.378586,136.281067,137.562134,111.935333,17228038
1/23/2020,137.858505,138.05928,135.898666,136.587006,111.141876,5918059
1/24/2020,137.084137,137.59082,134.28299,134.378586,109.344864,5836889
1/27/2020,132.40918,133.910141,132.026764,132.523895,107.835686,4358264
1/28/2020,133.365204,134.292542,132.648178,133.412994,108.559143,3610374
1/29/2020,133.049713,133.441681,131.548752,131.634796,107.112213,3194275
1/30/2020,130.745697,130.946457,129.034424,130.755264,106.39653,5290563
1/31/2020,136.615677,137.715103,134.598465,137.40918,111.810883,19868352
2/3/2020,137.906311,140.803055,137.571701,139.837479,113.786804,9295488
2/4/2020,141.281067,142.810699,140.420654,142.552582,115.996094,5879566
2/5/2020,143.604202,150.516251,143.546844,149.455063,121.612709,15048593
2/6/2020,149.923523,151.768646,148.585083,149.86615,121.947189,8786923
2/7/2020,147.753342,148.699814,146.195023,146.663483,120.587349,6718876
2/10/2020,146.242828,147.648178,144.913956,147.638626,121.38913,5480831
2/11/2020,148.298279,148.393875,146.013382,146.730408,120.642395,4011515
2/12/2020,146.988525,148.757172,146.768646,148.479919,122.080856,4641939
2/13/2020,147.581268,148.021027,146.663483,147.523895,121.2948,3996452
2/14/2020,147.629059,147.762909,143.183563,144.072662,118.457176,6379763
2/18/2020,143.202682,144.722748,143.05928,144.455063,118.771584,3496778
2/19/2020,144.875717,145.210327,143.699814,144.225616,118.582932,2858613
2/20/2020,144.177826,144.952194,142.934998,144.569794,118.865906,3013003
2/21/2020,144.397705,144.397705,142.294449,143.250473,117.781174,3699597
2/24/2020,139.110901,141.5392,138.986618,139.990433,115.100746,5703210
2/25/2020,140.066925,140.602295,135.047806,135.478012,111.39061,6497229
2/26/2020,136.615677,137.72467,133.4608,133.604202,109.849976,5656663
2/27/2020,131.20459,132.59082,127.160614,127.25621,104.630615,8808471
2/28/2020,124.263863,125.32505,120.803062,124.426384,102.303932,13607832
3/2/2020,125,128.527725,122.323135,128.393875,105.566002,8923844
3/3/2020,128.565964,130.114716,122.179733,123.231361,101.321358,8259321
3/4/2020,125.793503,128.374756,123.326958,128.317398,105.50312,5226234
3/5/2020,124.760994,126.472275,122.801147,123.852776,101.832291,5696725
3/6/2020,121.128105,122.686424,119.043976,122.112808,100.401688,8570192
3/9/2020,114.875717,117.026772,112.122368,112.629066,92.604118,11252345
3/10/2020,117.380501,119.388145,110.669212,119.282982,98.074989,11935592
3/11/2020,115.688339,117.189293,111.261948,112.782028,92.729874,8835039
3/12/2020,104.827919,104.971321,97.782028,98.288719,80.813423,13088284
3/13/2020,103.900574,104.359467,96.376671,103.202675,84.853699,13077197
3/16/2020,93.690247,102.686424,90.822182,94.722755,77.881462,11054128
3/17/2020,96.185471,102.676865,92.829826,101.959846,83.831841,9684182
3/18/2020,95.038239,102.227531,95.028679,98.996178,81.395081,9176035
3/19/2020,97.829826,99.13002,93.919693,95.927345,78.871887,8782739
3/20/2020,96.481834,96.548759,90.54493,91.19503,74.980965,11031639
3/23/2020,90.439774,93.441681,86.577438,90.602295,74.493599,10176952
3/24/2020,95.592735,101.376671,94.894836,100.841301,82.912155,8340699
3/25/2020,100.841301,107.533463,98.307838,101.19503,83.203003,9052084
3/26/2020,102.208412,108.173996,100.927345,107.92543,88.736763,7482561
3/27/2020,103.80497,106.596558,102.915871,103.27916,84.91658,6718458
3/30/2020,103.336517,108.47036,103.068832,107.963669,88.768204,5820467
3/31/2020,107.07457,108.80497,105.32505,106.051628,87.196114,6635092
4/1/2020,101.682602,105.086044,99.923515,100.516251,82.644905,6394093
4/2/2020,100.736137,105.468452,100.516251,105.162521,86.465088,6619820
4/3/2020,104.13002,105.229446,100.305923,101.663483,83.588173,4747585
4/6/2020,105.497131,110.54493,105.286804,109.770554,90.253845,7357773
4/7/2020,113.575523,114.311661,109.818359,109.885277,90.348145,5852684
4/8/2020,111.19503,114.684509,110.00956,114.043976,93.767464,5395896
4/9/2020,115.181641,117.514343,114.885277,116.156792,95.504601,5832705
4/13/2020,116.281075,116.443596,112.848946,115.822182,95.229492,5355206
4/14/2020,118.030594,119.67495,117.227531,118.4608,97.398994,5322780
4/15/2020,113.881454,114.904396,111.625237,113.47036,93.295815,5896616
4/16/2020,113.776291,114.483749,109.388145,110.640533,90.969131,6754650
4/17/2020,114.053535,115.095604,112.734222,114.837479,94.419876,5194436
4/20/2020,113.910133,117.456978,112.94455,115.114723,94.647835,8558058
4/21/2020,108.986618,111.998085,107.131927,111.625237,91.778763,15009054
4/22/2020,114.598473,115.038239,112.380501,114.063095,93.783188,7412479
4/23/2020,114.311661,117.619499,113.881454,116.013382,95.386711,7198154
4/24/2020,117.026772,119.502869,115.449333,119.235184,98.03569,5215251
4/27/2020,120.038239,121.405357,119.952202,120.382408,98.978943,5150295
4/28/2020,122.39962,122.562141,119.866158,120.717018,99.254066,4997893
4/29/2020,123.212234,123.623329,121.921608,123.030594,101.156281,5499450
